ID,Name,Name_nospace,Description,Ontological Scope,CRM Path,Expected Value Type,Field_Turtle,Category,Authors,Users,Funders
fie_1_Identifier,Identifier,Identifier,This field is used to record an identifier attributed to the documented entity.,E1 CRM Entity,--> P1 --> E42[1_1] --> P190 --> rdfs:Literal,String,"crm:P1_is_identified_by <https://example.org/name/fie_1_1> .
<https://example.org/name/fie_1_1> a crm:E42_Identifier;
crm:P190_has_symbolic_content ""content"" .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_2_Identifier Type,Identifier Type,Identifier_Type,This field is used to record the type of the identifier attributed to the documented entity.,E1 CRM Entity,--> P1 --> E42[1_1] --> P2 --> E55[2_1],Concept,"crm:P1_is_identified_by <https://example.org/name/fie_1_1> .
<https://example.org/name/fie_1_1> a crm:E42_Identifier ;
crm:P2_has_type <https://example.org/type/fie_2_1> .
<https://example.org/type/fie_2_1> a crm:E55_Type .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_3_Identifier Provider,Identifier Provider,Identifier_Provider,"This field is used to record the institution, group or individual responsible for providing the documented entity's identifier.",E1 CRM Entity,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P14 --> E39[3_2],Reference Model,"crm:P1_is_identified_by <https://example.org/name/fie_1_1> .
<https://example.org/name/fie_1_1> a crm:E42_Identifier ;
crm:P37i_was_assigned_by <https://example.org/event/fie_3_1> .
<https://example.org/event/fie_3_1> a crm:E15_Identifier_Assignment;
crm:P14_carried_out_by <https://example.org/actor/fie_3_2> .
<https://example.org/actor/fie_3_2> a crm:E39_Actor .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_4_Identifier Source,Identifier Source,Identifier_Source,This field is used to record the source based on which the identifier was attributed to the documented entity.,E1 CRM Entity,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P16 --> E73[4_1],Reference Model,"crm:P1_is_identified_by <https://example.org/name/fie_1_1> .
<https://example.org/name/fie_1_1> a crm:E42_Identifier ;
crm:P37i_was_assigned_by <https://example.org/event/fie_3_1> .
<https://example.org/event/fie_3_1> a crm:E15_Identifier_Assignment;
crm:P16_used_specific_object <https://example.org/conceptual_object/fie_4_1> .
<https://example.org/conceptual_object/fie_4_1> a crm:E73_Information_Object .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_5_Name,Name,Name,This field is used to record the main name attributed to the documented entity.,E1 CRM Entity,--> P1 --> E33_E41[5_1] --> P190 --> rdfs:Literal<br><br> --> P1 --> E33_E41[5_1] --> P2 --> E55[5_2]{'preferred terms'},String,"crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P190_has_symbolic_content ""content"" ;
crm:P2_has_type <http://vocab.getty.edu/aat/300404670> .
<http://vocab.getty.edu/aat/300404670> a crm:E55_Type;
rdfs:label ""preferred terms"" .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_6_Name Language,Name Language,Name_Language,This field is used to record the language of the main name attributed to the documented entity.,E1 CRM Entity,--> P1 --> E33_E41[5_1] --> P72 --> E56[6_1],Concept,"crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P72_has_language <https://example.org/name/fie_6_1> .
<https://example.org/name/fie_6_1> a crm:E56_Language .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_7_Name Part,Name Part,Name_Part,This field is used to record a specific part of the name attributed to the documented entity.,E1 CRM Entity,--> P1 --> E33_E41[5_1] --> P106 --> E41[7_1] --> rdfs:label --> rdfs:Literal,String,"crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P106_is_composed_of <https://example.org/name/fie_7_1> .
<https://example.org/name/fie_7_1> a crm:E33_E41_Linguistic_Appellation ;
rdfs:label ""content"" .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_8_Name Part Type,Name Part Type,Name_Part_Type,This field is used to record the type of the specific part of the name attributed to the documented entity.,E1 CRM Entity,--> P1 --> E33_E41[5_1] --> P106 --> E33_E41[7_1] --> P2 --> E55[8_1],Concept,"crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P106_is_composed_of <https://example.org/name/fie_7_1> .
<https://example.org/name/fie_7_1> a crm:E33_E41_Linguistic_Appellation ;
crm:P2_has_type <https://example.org/type/fie_8_1> .
<https://example.org/type/fie_8_1> a crm:E55_Type .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_9_Name Part Language,Name Part Language,Name_Part_Language,This field is used to record the language of the part of the name attributed to the documented entity.,E1 CRM Entity,--> P1 --> E33_E41[5_1] --> P106 --> E33_E41[7_1] --> P72 --> E56[9_1],Concept,"crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P106_is_composed_of <https://example.org/name/fie_7_1> .
<https://example.org/name/fie_7_1> a crm:E33_E41_Linguistic_Appellation ;
crm:P72_has_language <https://example.org/type/fie_9_1> .
<https://example.org/type/fie_9_1> a crm:E56_Language .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_10_Alternative Name,Alternative Name,Alternative_Name,This field is used to record an alternative  name under which the documented entity is known. ,E1 CRM Entity,--> P1 --> E33_E41[10_1]  --> P190 --> rdfs:Literal,String,"crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P190_has_symbolic_content ""content"" .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
